,congressional district,B00001_001E,B06010_003E,B06010_002E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B08014_002E,B08014_003E,B08014_004E,B08016_002E,B08101_009E,B08101_017E,B08101_025E,B08101_033E,B09010_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25027_002E,B25027_010E,Year,state
473,13,9531,526585,80823,110939,63338,95451,77472,73252,43613,16660,45860,9182,75887,144905,205429.0,284216,33263,4656,5507,48824,496780,7322,64,583,110222,18062,29873,80171,39232,102997,31531,8254,5877,135034,46446,2014,North Carolina
474,1,9783,440273,77704,125615,63055,85793,61558,54487,25808,7063,16894,10213,53606,88340,36730.0,192403,31710,1273,5455,77338,424940,8590,0,0,114777,26870,28818,65847,34046,39733,12290,3327,1774,85247,63650,2012,North Carolina
475,2,10617,492395,87854,117735,61975,91933,71405,68759,37684,14247,28657,7520,60849,123438,64699.0,253909,31038,2040,8763,53294,460198,6634,86,66,118957,20921,34520,78833,42928,63919,17858,2777,2069,115657,55555,2012,North Carolina
476,3,10260,534559,63107,122351,57237,93448,78497,83763,43202,17426,38635,7186,66819,147478,72733.0,274208,41677,1966,9950,34125,471345,4117,0,0,107923,26266,39110,82604,45288,75849,23274,6238,4043,125425,63248,2012,North Carolina
477,4,10248,567046,90021,103897,49032,78415,66721,79280,59339,24576,105786,10962,84571,186965,228933.0,313887,36125,9752,9237,31120,543561,3858,93,0,71179,15279,23504,67894,42423,166528,73170,18126,22674,163053,42705,2012,North Carolina
478,5,9363,496709,70258,119333,60419,92871,71346,68011,35819,12131,36779,6945,52465,117887,50183.0,256090,25532,1086,4061,36127,477136,5320,0,44,129861,18186,30073,68726,39870,74980,25879,7162,4171,121848,81384,2012,North Carolina
479,6,9229,501910,76741,98037,58568,96223,74390,74512,41577,16767,41836,5579,54823,132316,78650.0,270725,28228,663,2113,37697,490695,3693,0,0,118904,25443,31736,72566,43491,85700,29367,6674,4384,133044,74189,2012,North Carolina
480,7,9751,517048,83775,129217,67915,95595,70462,66627,36382,12512,38338,6627,61885,128838,56727.0,246641,31011,778,4257,62928,501159,4615,26,19,120739,22220,33997,74640,45608,77224,26073,6480,5023,118517,76552,2012,North Carolina
481,8,8709,470157,85074,105653,61065,89335,67555,69505,34681,12718,29645,7946,66344,117168,134176.0,239747,32705,4263,3464,61031,455982,6327,81,230,112045,20722,33269,73409,38473,64384,20298,4397,2496,119168,51009,2012,North Carolina
482,9,10570,576325,85220,99010,56497,81897,75516,91191,56852,24910,90452,5946,82863,192924,193754.0,330238,31921,5639,4738,39581,567132,4065,0,0,100662,16278,34102,91190,47986,152488,52550,13390,4689,187739,47978,2012,North Carolina
483,10,9275,480472,77240,111936,64952,97148,71931,62934,32941,9946,28684,4575,45627,111587,34053.0,241547,23350,830,3136,42699,470349,5194,0,125,122052,25162,34102,71969,46276,59410,21018,4390,2223,122685,71386,2012,North Carolina
484,11,8783,523243,67489,123565,68433,100259,81582,68625,39156,11726,29897,8805,56150,121384,39688.0,231634,29635,1388,6868,44217,505156,4527,0,55,124519,24593,31324,82256,47399,84976,28972,8922,5771,116280,94761,2012,North Carolina
485,12,8433,488934,93736,120277,63942,96554,74939,64590,29804,10773,28055,10977,80787,131311,215701.0,237578,38298,8670,6993,79257,461188,8061,76,0,121422,16378,24625,72959,32696,74930,23858,5326,3406,113095,39896,2012,North Carolina
486,13,9531,526585,80823,110939,63338,95451,77472,73252,43613,16660,45860,9182,75887,144905,205429.0,284216,33263,4656,5507,48824,496780,7322,64,583,110222,18062,29873,80171,39232,102997,31531,8254,5877,135034,46446,2012,North Carolina
487,1,9783,440273,77704,125615,63055,85793,61558,54487,25808,7063,16894,10213,53606,88340,36730.0,192403,31710,1273,5455,77338,424940,8590,0,0,114777,26870,28818,65847,34046,39733,12290,3327,1774,85247,63650,2010,North Carolina
488,2,10617,492395,87854,117735,61975,91933,71405,68759,37684,14247,28657,7520,60849,123438,64699.0,253909,31038,2040,8763,53294,460198,6634,86,66,118957,20921,34520,78833,42928,63919,17858,2777,2069,115657,55555,2010,North Carolina
489,3,10260,534559,63107,122351,57237,93448,78497,83763,43202,17426,38635,7186,66819,147478,72733.0,274208,41677,1966,9950,34125,471345,4117,0,0,107923,26266,39110,82604,45288,75849,23274,6238,4043,125425,63248,2010,North Carolina
490,4,10248,567046,90021,103897,49032,78415,66721,79280,59339,24576,105786,10962,84571,186965,228933.0,313887,36125,9752,9237,31120,543561,3858,93,0,71179,15279,23504,67894,42423,166528,73170,18126,22674,163053,42705,2010,North Carolina
491,5,9363,496709,70258,119333,60419,92871,71346,68011,35819,12131,36779,6945,52465,117887,50183.0,256090,25532,1086,4061,36127,477136,5320,0,44,129861,18186,30073,68726,39870,74980,25879,7162,4171,121848,81384,2010,North Carolina
492,6,9229,501910,76741,98037,58568,96223,74390,74512,41577,16767,41836,5579,54823,132316,78650.0,270725,28228,663,2113,37697,490695,3693,0,0,118904,25443,31736,72566,43491,85700,29367,6674,4384,133044,74189,2010,North Carolina
493,7,9751,517048,83775,129217,67915,95595,70462,66627,36382,12512,38338,6627,61885,128838,56727.0,246641,31011,778,4257,62928,501159,4615,26,19,120739,22220,33997,74640,45608,77224,26073,6480,5023,118517,76552,2010,North Carolina
494,8,8709,470157,85074,105653,61065,89335,67555,69505,34681,12718,29645,7946,66344,117168,134176.0,239747,32705,4263,3464,61031,455982,6327,81,230,112045,20722,33269,73409,38473,64384,20298,4397,2496,119168,51009,2010,North Carolina
495,9,10570,576325,85220,99010,56497,81897,75516,91191,56852,24910,90452,5946,82863,192924,193754.0,330238,31921,5639,4738,39581,567132,4065,0,0,100662,16278,34102,91190,47986,152488,52550,13390,4689,187739,47978,2010,North Carolina
496,10,9275,480472,77240,111936,64952,97148,71931,62934,32941,9946,28684,4575,45627,111587,34053.0,241547,23350,830,3136,42699,470349,5194,0,125,122052,25162,34102,71969,46276,59410,21018,4390,2223,122685,71386,2010,North Carolina
497,11,8783,523243,67489,123565,68433,100259,81582,68625,39156,11726,29897,8805,56150,121384,39688.0,231634,29635,1388,6868,44217,505156,4527,0,55,124519,24593,31324,82256,47399,84976,28972,8922,5771,116280,94761,2010,North Carolina
498,12,8433,488934,93736,120277,63942,96554,74939,64590,29804,10773,28055,10977,80787,131311,215701.0,237578,38298,8670,6993,79257,461188,8061,76,0,121422,16378,24625,72959,32696,74930,23858,5326,3406,113095,39896,2010,North Carolina
499,13,9531,526585,80823,110939,63338,95451,77472,73252,43613,16660,45860,9182,75887,144905,205429.0,284216,33263,4656,5507,48824,496780,7322,64,583,110222,18062,29873,80171,39232,102997,31531,8254,5877,135034,46446,2010,North Carolina
500,1,10315,622930,84965,132514,70535,113064,80256,94122,57977,18579,55883,10907,88028,180849,125730.0,326054,34195,2675,11252,54295,584358,5643,0,0,141622,21348,39447,90554,50401,114251,44161,11666,6249,158876,73240,2018,South Carolina
501,2,10566,579852,78087,118234,59630,101827,79579,87954,56538,19759,56331,8423,77155,159402,38784.0,307075,32623,920,4844,49295,545234,3834,0,244,122728,17618,30670,86627,44968,110533,48709,11769,7340,149600,71027,2018,South Carolina
502,3,9359,508604,81277,128807,66699,101805,65550,63715,36956,13675,31397,5319,54145,117502,18993.0,245588,25313,822,5927,55790,485663,7559,0,73,130163,28773,29162,68493,40009,61015,26621,4021,5457,114056,85937,2018,South Carolina
503,4,9643,526905,88803,117822,64281,101907,68063,71778,41247,15478,46329,6830,66874,138636,52544.0,284225,29677,1122,5911,49396,510344,7178,0,0,117811,26218,30902,72768,47931,87814,32071,7422,5166,133993,66645,2018,South Carolina
504,5,10160,516924,93960,124039,68640,102899,73470,65842,36269,12545,33220,8675,60362,127255,42151.0,252259,34615,905,3848,66801,510817,7447,0,170,153176,24516,30033,69304,43521,65644,24506,3414,2106,120857,79847,2018,South Carolina
505,6,8848,455908,98280,142554,67849,81584,59940,50426,27257,7648,18650,12080,59119,96879,64495.0,199403,25422,3285,5134,77275,437941,5611,0,74,137230,16574,22056,62775,32587,45084,21987,4215,3270,83400,72682,2018,South Carolina
506,1,10315,622930,84965,132514,70535,113064,80256,94122,57977,18579,55883,10907,88028,180849,125730.0,326054,34195,2675,11252,54295,584358,5643,0,0,141622,21348,39447,90554,50401,114251,44161,11666,6249,158876,73240,2016,South Carolina
507,2,10566,579852,78087,118234,59630,101827,79579,87954,56538,19759,56331,8423,77155,159402,38784.0,307075,32623,920,4844,49295,545234,3834,0,244,122728,17618,30670,86627,44968,110533,48709,11769,7340,149600,71027,2016,South Carolina
508,3,9359,508604,81277,128807,66699,101805,65550,63715,36956,13675,31397,5319,54145,117502,18993.0,245588,25313,822,5927,55790,485663,7559,0,73,130163,28773,29162,68493,40009,61015,26621,4021,5457,114056,85937,2016,South Carolina
509,4,9643,526905,88803,117822,64281,101907,68063,71778,41247,15478,46329,6830,66874,138636,52544.0,284225,29677,1122,5911,49396,510344,7178,0,0,117811,26218,30902,72768,47931,87814,32071,7422,5166,133993,66645,2016,South Carolina
